metric,layer,entity,category,count,total
assessment_verdict,consistency,state,pass,19,19
assessment_verdict,consistency,state,fail,0,19
assessment_verdict,consistency,state,unknown,0,19
assessment_verdict,consistency,state,not_applicable,0,19
assessment_verdict,consistency,reaction,pass,185,185
assessment_verdict,consistency,reaction,fail,0,185
assessment_verdict,consistency,reaction,unknown,0,185
assessment_verdict,consistency,reaction,not_applicable,0,185
assessment_verdict,state,state,pass,14,19
assessment_verdict,state,state,fail,1,19
assessment_verdict,state,state,unknown,4,19
assessment_verdict,state,state,not_applicable,0,19
assessment_verdict,state,reaction,pass,91,185
assessment_verdict,state,reaction,fail,22,185
assessment_verdict,state,reaction,unknown,72,185
assessment_verdict,state,reaction,not_applicable,0,185
assessment_verdict,thermochemistry,state,pass,12,19
assessment_verdict,thermochemistry,state,fail,0,19
assessment_verdict,thermochemistry,state,unknown,6,19
assessment_verdict,thermochemistry,state,not_applicable,1,19
assessment_verdict,thermochemistry,reaction,pass,83,185
assessment_verdict,thermochemistry,reaction,fail,7,185
assessment_verdict,thermochemistry,reaction,unknown,95,185
assessment_verdict,thermochemistry,reaction,not_applicable,0,185
assessment_verdict,reaction_evidence,state,pass,0,0
assessment_verdict,reaction_evidence,state,fail,0,0
assessment_verdict,reaction_evidence,state,unknown,0,0
assessment_verdict,reaction_evidence,state,not_applicable,0,0
assessment_verdict,reaction_evidence,reaction,pass,38,185
assessment_verdict,reaction_evidence,reaction,fail,0,185
assessment_verdict,reaction_evidence,reaction,unknown,147,185
assessment_verdict,reaction_evidence,reaction,not_applicable,0,185
assessment_verdict,kinetics,state,pass,0,0
assessment_verdict,kinetics,state,fail,0,0
assessment_verdict,kinetics,state,unknown,0,0
assessment_verdict,kinetics,state,not_applicable,0,0
assessment_verdict,kinetics,reaction,pass,4,185
assessment_verdict,kinetics,reaction,fail,1,185
assessment_verdict,kinetics,reaction,unknown,180,185
assessment_verdict,kinetics,reaction,not_applicable,0,185
reaction_readiness,cumulative,reaction,All reaction candidates,185,185
reaction_readiness,cumulative,reaction,Consistency pass,185,185
reaction_readiness,cumulative,reaction,+ State pass,91,185
reaction_readiness,cumulative,reaction,+ Thermochemistry pass,78,185
reaction_readiness,cumulative,reaction,+ Reaction evidence pass,38,185
reaction_readiness,cumulative,reaction,+ Kinetics pass,4,185
state_charge,all,state,negative (-1),4,19
state_charge,all,state,neutral (0),12,19
state_charge,all,state,positive (+1),3,19
state_excitation,all,state,electron,1,19
state_excitation,all,state,electronic,8,19
state_excitation,all,state,ground,9,19
state_excitation,all,state,vibrational,1,19
state_resolution,all,state,lumped,5,19
state_resolution,all,state,resolved,14,19
state_lifetime_class,all,state,metastable,5,19
state_lifetime_class,all,state,mixed_metastable_resonant,1,19
state_lifetime_class,all,state,not_applicable,11,19
state_lifetime_class,all,state,resonant_radiative,1,19
state_lifetime_class,all,state,unspecified,1,19
reaction_family,all,reaction,electron,62,185
reaction_family,all,reaction,ion,86,185
reaction_family,all,reaction,neutral,35,185
reaction_family,all,reaction,surface,2,185
reaction_depth,all,reaction,0,27,185
reaction_depth,all,reaction,1,14,185
reaction_depth,all,reaction,2,144,185
